n,xa,phat_a,variance_a,sigma_a,cdf_probability,relative_gain
1,NaN,NaN,NaN,NaN,NaN,NaN
2,NaN,NaN,NaN,NaN,NaN,NaN
3,NaN,NaN,NaN,NaN,NaN,NaN
4,NaN,NaN,NaN,NaN,NaN,NaN
5,NaN,NaN,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,NaN,NaN
11,NaN,NaN,NaN,NaN,NaN,NaN
12,NaN,NaN,NaN,NaN,NaN,NaN
13,NaN,NaN,NaN,NaN,NaN,NaN
14,NaN,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,NaN,NaN,NaN,NaN
16,NaN,NaN,NaN,NaN,NaN,NaN
17,NaN,NaN,NaN,NaN,NaN,NaN
18,NaN,NaN,NaN,NaN,NaN,NaN
19,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,NaN,NaN
21,NaN,NaN,NaN,NaN,NaN,NaN
22,0,0,0,0,0.0984770902183616,NaN
23,0,0,0,0,0.0886293811965251,NaN
24,0,0,0,0,0.0797664430768722,NaN
25,0,0,0,0,0.0717897987691853,NaN
26,0,0,0,0,0.0646108188922669,NaN
27,0,0,0,0,0.0581497370030405,NaN
28,0,0,0,0,0.052334763302736,NaN
29,0,0,0,0,0.0471012869724625,NaN
30,0,0,0,0,0.0423911582752157,NaN
31,0,0,0,0,0.0381520424476947,NaN
32,0,0,0,0,0.0343368382029255,NaN
33,0,0,0,0,0.0309031543826324,NaN
34,0,0,0,0,0.0278128389443695,NaN
35,0,0,0,0,0.0250315550499323,NaN
36,0,0,0,0,0.0225283995449392,NaN
37,0,0,0,0,0.0202755595904453,NaN
38,1,0.0263157894736842,0.000674296544685814,0.0259672205806824,0.0952951300750925,NaN
39,1,0.0256410256410256,0.000640604190900049,0.0253101598355295,0.0875904174307236,0.0253034683905182
40,1,0.025,0.000609375,0.0246855220726644,0.0804736960144772,0.0246793290490504
41,1,0.024390243902439,0.000580374631824843,0.0240909657719412,0.0739044147071734,0.0240852228675992
42,1,0.0238095238095238,0.000553395961559227,0.0235243695252227,0.067844252701185,0.0235190341509024
43,1,0.0232558139534884,0.000528255373740677,0.022983806772175,0.0622570789493226,0.0229788412594066
44,1,0.0227272727272727,0.000504789631855748,0.0224675239369128,0.0571088974208211,0.0224628948711518
45,1,0.0222222222222222,0.000482853223593964,0.0219739214432464,0.0523677814085261,0.021969599100121
46,1,0.0217391304347826,0.000462316100928742,0.0215015371759496,0.0480037996244827,0.0214974950427894
47,1,0.0212765957446809,0.000443061749323368,0.0210490320281805,0.0439889363831616,0.0210452463963946
48,1,0.0208333333333333,0.000424985532407407,0.0206151772344408,0.0402970077938603,0.0206116268510023
49,1,0.0204081632653061,0.000407993268111076,0.0201988432369548,0.0369035755585893,0.0201955090053963
50,1,0.02,0.000392,0.0197989898732233,0.0337858596924318,0.0197958545962648
51,1,0.0196078431372549,0.000376928933818818,0.019414657705425,0.0309226512439201,0.0194117058627381
52,2,0.0384615384615385,0.000711197086936732,0.0266682786646745,0.0966332851372525,-0.373615701564629
53,2,0.0377358490566038,0.000685129334954358,0.0261749753572827,0.0897993792123465,0.0184977558392319
54,2,0.037037037037037,0.000660468424528781,0.0256995802403226,0.0834076672002274,0.018162199217805
