n,xr,phat_r,variance_r,sigma_r,tail_probability,relative_gain
1,NaN,NaN,NaN,NaN,NaN,NaN
2,2,1,0,0,0.01,NaN
3,2,0.666666666666667,0.0740740740740741,0.272165526975909,0.028,NaN
4,3,0.75,0.046875,0.21650635094611,0.0037,0.204504871165134
5,3,0.6,0.048,0.219089023002066,0.00856000000000001,-0.0119288512538815
6,3,0.5,0.0416666666666667,0.204124145231932,0.01585,0.0683050093750877
7,3,0.428571428571429,0.0349854227405248,0.187043905916565,0.0256915,0.083675742014545
8,3,0.375,0.029296875,0.171163299220364,0.03809179,0.0849030959783548
9,4,0.444444444444444,0.0274348422496571,0.165634664999984,0.008331094,0.0323003485301025
10,4,0.4,0.024,0.154919333848297,0.0127951984,0.0646925639128062
11,4,0.363636363636364,0.0210368144252442,0.145040733675903,0.0185347612,0.0637660899192051
12,4,0.333333333333333,0.0185185185185185,0.136082763487954,0.0256374701649999,0.0617617545148752
13,4,0.307692307692308,0.0163859808830223,0.128007737590437,0.0341607209230001,0.0593390793260282
14,4,0.285714285714286,0.0145772594752187,0.120736322104074,0.0441329243098599,0.0568044996594556
15,5,0.333333333333333,0.0148148148148148,0.121716123890037,0.012720483641251,-0.00811521975233381
16,5,0.3125,0.013427734375,0.11587810136087,0.0170039982778795,0.0479642494567234
17,5,0.294117647058824,0.0122124974557297,0.110510169015026,0.0221442158418338,0.0463239583907786
18,5,0.277777777777778,0.0111454046639232,0.105571798620291,0.0281938565132567,0.0446870223686322
19,5,0.263157894736842,0.0102055693249745,0.101022617888147,0.0351941550044749,0.0430908707779615
20,5,0.25,0.009375,0.0968245836551854,0.0431744952844635,0.0415553894832673
21,6,0.285714285714286,0.00971817298347911,0.0985807941917649,0.0144452702765045,-0.0181380644282834
22,6,0.272727272727273,0.00901577761081893,0.0949514487031079,0.0182159810587992,0.0368159489727479
23,6,0.260869565217391,0.00838333196350785,0.0915605371517001,0.0226077500875893,0.0357120570325417
24,6,0.25,0.0078125,0.0883883476483184,0.027658284470698,0.0346458157855261
25,6,0.24,0.007296,0.0854166260162505,0.0333999446114951,0.033621192285344
26,6,0.230769230769231,0.00682749203459263,0.0826286393122422,0.0398593122698922,0.0326398598731567
27,6,0.222222222222222,0.00640146319158665,0.0800091444247884,0.0470568933749635,0.0317020213482537
28,7,0.25,0.00669642857142857,0.0818317088384971,0.0179066898994262,-0.0227794513591134
29,7,0.241379310344828,0.00631432203042355,0.0794627084261766,0.0216167157963127,0.0289496632289084
30,7,0.233333333333333,0.00596296296296296,0.0772202237950847,0.0258267886619098,0.0282205914636702
31,7,0.225806451612903,0.00563928703299654,0.0750951864835326,0.030563120635707,0.0275191809491664
32,7,0.21875,0.005340576171875,0.0730792458354285,0.0358488671184648,0.0268451380508409
33,7,0.212121212121212,0.00506441828755878,0.0711647264279066,0.0417038478378263,0.0261978539274119
34,7,0.205882352941176,0.00480867087319357,0.0693445807052979,0.0481443266291246,0.0255765154167018
35,8,0.228571428571429,0.00503790087463557,0.0709781718180707,0.0199902336271635,-0.0235575887280267
36,8,0.222222222222222,0.00480109739368998,0.0692899516069248,0.0235094952524086,0.0237850619127396
37,8,0.216216216216216,0.00458018281246915,0.0676770479000758,0.0274413599647515,0.0232775989799918
38,8,0.210526315789474,0.00437381542498907,0.0661348276250046,0.0318057297954524,0.0227879365741293
39,8,0.205128205128205,0.004180785245874,0.064658991995499,0.0366206152215801,0.0223155587230647
40,8,0.2,0.004,0.0632455532033676,0.0419019426733634,0.021859895252153
41,8,0.195121951219512,0.00383047257004396,0.0618908116770492,0.0476633908025827,0.0214203443198961
42,9,0.214285714285714,0.00400874635568513,0.063314661459137,0.0210887113065609,-0.0230058346870231
43,9,0.209302325581395,0.00384871772296779,0.0620380344866582,0.02437146583254,0.020163212485986
44,9,0.204545454545455,0.00369787753568745,0.0608101762510803,0.0280012544084084,0.0197920234858813
45,9,0.2,0.00355555555555556,0.0596284793999944,0.0319940218418635,0.0194325509961819
46,9,0.195652173913043,0.00342113914687269,0.0584905047582314,0.0363644834919972,0.019084414917398
47,9,0.191489361702128,0.00329406778844765,0.0573939699659088,0.041125986447668,0.0187472273808378
48,9,0.1875,0.003173828125,0.0563367386791248,0.0462903858072809,0.0184205986693724
49,10,0.204081632653061,0.00331494530340249,0.0575755616855146,0.0215012688811391,-0.0219896116714471
50,10,0.2,0.0032,0.0565685424949238,0.0245379357045913,0.017490392817898
51,10,0.196078431372549,0.00309081725731431,0.0555951190062069,0.0278708627059413,0.0172078587459501
52,10,0.192307692307692,0.00298702776513427,0.054653707697962,0.0315132757859893,0.016933344600625
53,10,0.188679245283019,0.00288829033363112,0.0537428165770191,0.0354775765335751,0.0166665933439846
54,10,0.185185185185185,0.002794289488391,0.052861039418375,0.0397752389349354,0.0164073492013653
55,10,0.181818181818182,0.00270473328324568,0.0520070503224869,0.0444167143284046,0.0161553595102277
56,10,0.178571428571429,0.00261935131195335,0.0511795985911706,0.0494113454583325,0.0159103761160334
57,11,0.192982456140351,0.00273228469758576,0.0522712607231331,0.0242384045634919,-0.0213300252837634
58,11,0.189655172413793,0.00264976013776703,0.0514758209042559,0.0272912931401014,0.0152175365176383
59,11,0.186440677966102,0.00257085680619732,0.0507036172890783,0.0306113094671623,0.0150012880146938
60,11,0.183333333333333,0.00249537037037037,0.0499536822503644,0.0342091230787334,0.0147905628594171
61,11,0.180327868852459,0.00242311030438671,0.0492250983176947,0.0380947617792303,0.0145851897167072
62,11,0.17741935483871,0.00235389882850525,0.0485169952542947,0.0422775375568245,0.0143850004895873
63,11,0.174603174603175,0.00228756993685187,0.047828547300246,0.0467659777181629,0.0141898308096011
64,12,0.1875,0.00238037109375,0.0487890468624875,0.0236301088865255,-0.0200821395684856
65,12,0.184615384615385,0.00231588529813382,0.0481236459355878,0.0264238741794031,0.0136383260114734
66,12,0.181818181818182,0.00225394440270473,0.047475724351554,0.0294504532466864,0.0134636844619192
67,12,0.17910447761194,0.0021944188613626,0.0468446246794934,0.0327191586393519,0.0132931025419923
68,12,0.176470588235294,0.0021371870547527,0.0462297204701986,0.0362388539103839,0.0131264625024094
69,12,0.173913043478261,0.00208213473603463,0.0456304145941567,0.0400178951487556,0.0129636491405612
