Scenario,Repeat,Chromosome,Fitness,UniqueEvaluations
1,1,10|01|01|11,18.95,73
1,2,10|01|01|11,18.668,73
1,3,10|01|01|11,18.832,70
1,4,10|01|01|11,18.776,68
1,5,10|01|01|11,18.7196,72
1,6,10|01|01|11,19.0508,72
1,7,10|01|01|11,19.0228,71
1,8,10|01|01|11,18.9996,73
1,9,00|01|11|11,18.506,70
1,10,10|01|01|11,18.884,77
2,1,11|01|00|11,12.1768,71
2,2,11|01|00|11,11.9182,64
2,3,11|01|00|11,12.1214,69
2,4,11|01|00|11,11.5948,70
2,5,11|01|00|11,11.8188,75
2,6,11|01|00|11,12.3362,67
2,7,11|01|00|11,12.0666,71
2,8,11|01|00|11,11.9496,67
2,9,11|01|00|11,11.748,71
2,10,11|01|00|11,12.0152,76
3,1,10|11|01|11,16.5188,78
3,2,00|11|11|11,16.7052,75
3,3,10|11|01|11,16.6372,75
3,4,00|11|11|11,16.6274,71
3,5,00|11|11|11,16.559,73
3,6,10|11|01|11,16.3994,71
3,7,10|11|01|11,16.3914,67
3,8,00|11|11|11,16.6372,77
3,9,10|11|01|11,16.3968,71
3,10,00|11|11|11,16.4496,74
4,1,11|11|00|11,14.8864,70
4,2,11|11|00|11,14.5776,67
4,3,11|11|00|11,14.9734,71
4,4,11|11|00|11,14.5496,65
4,5,11|11|00|11,14.698,62
4,6,11|11|10|11,14.6296,71
4,7,11|11|00|11,14.8148,65
4,8,11|11|10|11,14.5946,66
4,9,11|11|10|11,14.8222,74
4,10,11|11|00|11,14.8366,71
5,1,01|01|00|01,16.5302,59
5,2,01|01|00|01,16.5006,64
5,3,01|01|01|01,16.4762,66
5,4,01|01|01|01,16.306,65
5,5,01|01|00|01,16.5006,66
5,6,01|01|00|01,16.3872,67
5,7,01|01|00|01,16.5902,62
5,8,01|11|00|01,16.4072,64
5,9,01|01|01|01,16.4392,58
5,10,01|01|00|01,16.4842,63
6,1,00|00|00|00,21.8136,44
6,2,00|00|00|00,22.0948,56
6,3,00|00|00|00,21.654,47
6,4,00|00|00|00,21.958,46
6,5,00|00|00|00,22.1252,48
6,6,00|00|00|00,21.844,45
6,7,00|00|00|00,21.616,53
6,8,00|00|00|00,21.6616,45
6,9,00|00|00|00,22.072,52
6,10,00|00|00|00,21.8136,53
