scenario,perturbation,chromosome,meanProfit,sameAsBase
1,defect_-20%,10|01|01|11,20.4636666666667,1
1,defect_+20%,10|01|01|11,17.3033333333333,1
1,exchange_-20%,10|01|01|11,19.0130533333331,1
1,exchange_+20%,10|01|01|11,18.7041333333336,1
2,defect_-20%,11|01|00|11,14.6675666666667,1
2,defect_+20%,11|01|00|11,9.11506666666667,1
2,exchange_-20%,11|01|00|11,12.3202133333331,1
2,exchange_+20%,11|01|00|11,11.5399733333336,1
3,defect_-20%,00|11|11|11,18.1902,0
3,defect_+20%,10|11|01|11,15.0573333333333,1
3,exchange_-20%,10|11|01|11,16.6433666666667,1
3,exchange_+20%,10|11|01|11,16.6101666666667,1
4,defect_-20%,11|11|00|11,16.9363333333333,1
4,defect_+20%,11|11|00|11,12.3315333333333,1
4,exchange_-20%,11|11|00|11,14.5958333333333,1
4,exchange_+20%,11|11|00|11,14.7297666666667,1
5,defect_-20%,01|01|00|01,18.8694,1
5,defect_+20%,01|11|00|01,14.0578666666667,0
5,exchange_-20%,01|01|00|01,16.9465666666667,1
5,exchange_+20%,01|11|00|01,16.2219666666667,0
6,defect_-20%,00|00|00|00,23.2018666666667,1
6,defect_+20%,10|00|00|00,20.2192666666667,0
6,exchange_-20%,00|00|00|00,21.9916,1
6,exchange_+20%,00|00|00|00,21.2346666666667,1
