Case,Parameter,NominalRate,RejectSampleSize,AcceptSampleSize,SampleSize,DefectCount,AlphaPerParameter,LowerBound,UpperBound
1,零配件1,0.1,85,105,105,11,0.0166666666666667,0.0454292223753639,0.197320240075149
1,零配件2,0.1,85,105,105,11,0.0166666666666667,0.0454292223753639,0.197320240075149
1,成品工序,0.1,85,105,105,11,0.0166666666666667,0.0454292223753639,0.197320240075149
2,零配件1,0.2,77,79,79,16,0.0166666666666667,0.106304837155826,0.331523887592817
2,零配件2,0.2,77,79,79,16,0.0166666666666667,0.106304837155826,0.331523887592817
2,成品工序,0.2,77,79,79,16,0.0166666666666667,0.106304837155826,0.331523887592817
3,零配件1,0.1,85,105,105,11,0.0166666666666667,0.0454292223753639,0.197320240075149
3,零配件2,0.1,85,105,105,11,0.0166666666666667,0.0454292223753639,0.197320240075149
3,成品工序,0.1,85,105,105,11,0.0166666666666667,0.0454292223753639,0.197320240075149
4,零配件1,0.2,77,79,79,16,0.0166666666666667,0.106304837155826,0.331523887592817
4,零配件2,0.2,77,79,79,16,0.0166666666666667,0.106304837155826,0.331523887592817
4,成品工序,0.2,77,79,79,16,0.0166666666666667,0.106304837155826,0.331523887592817
5,零配件1,0.1,85,105,105,11,0.0166666666666667,0.0454292223753639,0.197320240075149
5,零配件2,0.2,77,79,79,16,0.0166666666666667,0.106304837155826,0.331523887592817
5,成品工序,0.1,85,105,105,11,0.0166666666666667,0.0454292223753639,0.197320240075149
6,零配件1,0.05,94,106,106,5,0.0166666666666667,0.0116826066593168,0.121362978838837
6,零配件2,0.05,94,106,106,5,0.0166666666666667,0.0116826066593168,0.121362978838837
6,成品工序,0.05,94,106,106,5,0.0166666666666667,0.0116826066593168,0.121362978838837
