Parameter,NominalRate,RejectSampleSize,AcceptSampleSize,SampleSize,DefectCount,AlphaPerParameter,LowerBound,UpperBound
零配件1,0.1,85,105,105,11,0.00416666666666667,0.037683623297974,0.217293226899837
零配件2,0.1,85,105,105,11,0.00416666666666667,0.037683623297974,0.217293226899837
零配件3,0.1,85,105,105,11,0.00416666666666667,0.037683623297974,0.217293226899837
零配件4,0.1,85,105,105,11,0.00416666666666667,0.037683623297974,0.217293226899837
零配件5,0.1,85,105,105,11,0.00416666666666667,0.037683623297974,0.217293226899837
零配件6,0.1,85,105,105,11,0.00416666666666667,0.037683623297974,0.217293226899837
零配件7,0.1,85,105,105,11,0.00416666666666667,0.037683623297974,0.217293226899837
零配件8,0.1,85,105,105,11,0.00416666666666667,0.037683623297974,0.217293226899837
半成品工序1,0.1,85,105,105,11,0.00416666666666667,0.037683623297974,0.217293226899837
半成品工序2,0.1,85,105,105,11,0.00416666666666667,0.037683623297974,0.217293226899837
半成品工序3,0.1,85,105,105,11,0.00416666666666667,0.037683623297974,0.217293226899837
成品工序,0.1,85,105,105,11,0.00416666666666667,0.037683623297974,0.217293226899837
